item,itemLabel,iso639_2,iso639_1
Q33726,Khandeshi,khn,
Q33728,Magahi,mag,
Q33730,Mapudungun,arn,
Q33759,Mansi,mns,
Q33776,Palauan,pau,
Q33777,Shumashti,sts,
Q33779,Saramaccan,srm,
Q33781,Marquesan,,
Q33784,Soga,xog,
Q33786,Sidamo,sid,
Q33823,Nepali,nep,ne
Q33826,Mura,,
Q33856,Papiamento,pap,
Q33871,Nogai,nog,
Q33873,Sarikoli,srh,
Q33875,Ojibwe,oji,oj
Q33879,Pangasinan,pag,
Q33882,Makhuwa,vmw,
Q33894,Gawar-Bati,gwt,
Q33902,Saraiki,skr,
Q33904,Nihali,nll,
Q33906,Ollari,gdb,
Q33907,Sauria Paharia,mjt,
Q33919,Kui,uki,
Q33963,Salar,slr,
Q33965,Santali,sat,
Q33968,Ossetian,oss,os
Q33973,Sicilian,scn,
Q33997,Sindhi,snd,sd
Q34002,Sundanese,sun,su
Q34004,Shona,sna,sn
Q34033,Tsez,ddo,
Q34042,Toda,tcx,
Q34053,Shughni,sgh,
Q34057,Tagalog,tgl,tl
Q34075,Maore,swb,
Q34081,Tregami,trm,
Q34094,Tongan,ton,to
Q34098,Kwasio,nmg,
Q34114,Komi-Zyryan,kpv,
Q34119,Tuvan,tyv,
Q34138,Tumbuka,tum,
Q34142,Tausug,tsg,
Q34152,Tachelhit,shi,
Q34196,Waigali,wbk,
Q34233,Okinawan,ryu,
Q34239,Konkani,kok,
Q34243,Yonaguni,yoi,
Q34247,Yaghnobi,yai,
Q34251,Tulu,tcy,
Q34257,Wolof,wol,wo
Q34271,Tibetan,bod,bo
Q34299,Yakut,sah,
Q34311,Yoruba,yor,yo
Q34340,Sesotho,sot,st
Q34905,Baka,bkc,
Q34915,Archi,aqc,
Q34926,Acholi,ach,
Q35015,Zande,zne,
Q35159,Dagaare,dga,
Q35215,Berbice Creole Dutch,brc,
Q35241,Akkala Sami,sia,
Q35243,Braj Bhasha,bra,
Q35280,Bamum,bax,
Q35284,Cia-Cia,cia,
Q35285,Sikkimese,sip,
Q35373,Khorasani Turkic,kmz,
Q35390,Asturleonese,,
Q35394,Domari,rmt,
Q35459,Ewondo,ewo,
Q35465,Dyirbal,dbl,
Q35482,Gola,gol,
Q35570,Fante,fat,
Q35756,Haya,hay,
Q35785,Macanese,mzs,
Q35788,Nso,lns,
Q35793,Lumbu,lup,
Q35833,Ladakhi,lbj,
Q35853,Kabyle,kab,
Q35947,Kokborok,trp,
Q35978,Hiligaynon,hil,
Q35990,Lepcha,lep,
Q36032,Moundang,mua,
Q36035,Mboshi,mdw,
Q36109,Maithili,mai,
Q36126,Komi,kom,kv
Q36137,Garo,grt,
Q36158,Kumzari,zum,
Q36163,Kurmanji,kmr,
Q36203,Lemnian,xle,
Q36206,Lak,lbe,
Q36209,Kumyk,kum,
Q36212,Latgalian,ltg,
Q36213,Madurese,mad,
Q36217,Lingala,lin,ln
Q36236,Malayalam,mal,ml
Q36280,Marshallese,mah,mh
Q36286,Ngiemboon,nnh,
Q36358,Gunu,yas,
Q36388,Nubi,kcn,
Q36451,Māori,mri,mi
Q36452,Nenets,yrk,
Q36453,Mator,mtm,
Q36455,Eastern Min,cdo,
Q36489,Ovambo,,
Q36494,K’iche’,quc,
Q36495,Southern Min,nan,
Q36498,Aghul,agx,
Q36594,Northwest Gbaya,gya,
Q36614,Obolo,ann,
Q36632,Nen,tvu,
Q36670,Pashayi,,
Q36689,Raetic,xrr,
Q36708,Norn,nrn,
Q36709,Toto,txo,
Q36720,Nupe,nup,
Q36745,Cook Islands Maori,rar,
Q36754,Rotuman,rtm,
Q36757,Rutulian,rut,
Q36808,Tzeltal,tzh,
Q36840,Tshangla,tsj,
Q36850,Twi,twi,tw
Q36853,Tsakhur,tkr,
Q36897,Vute,vut,
Q36928,Ugaritic,uga,
Q36939,Vai,vai,
Q36983,Umbundu,umb,
Q37059,Bishnupriya Manipuri,bpy,
Q37560,Vulgar Latin,,
Q42365,Old English,ang,
Q44679,Australian English,,
Q49224,Komering,kge,
Q49232,Rukai,dru,
Q56232,Mesopotamian Arabic,acm,
Q56251,Kera,ker,
Q56314,Pite Sami,sje,
Q56315,Dumi,dus,
Q56318,Permyak,koi,
Q56321,War,aml,
Q56322,Lule Sami,smj,
Q56337,Shixing,sxg,
Q56374,Khoirao,nki,
Q56385,Gulf Arabic,afb,
Q56390,Tahoua,ttq,
Q56408,Puroik,suv,
Q56415,Ume Sami,sju,
Q56416,Cypriot Arabic,acy,
Q56440,Adi,adi,
Q56442,Bahing,bhj,
Q56475,Hausa,hau,ha
Q56477,Limbu,lif,
Q56480,Lisu,lis,
Q56482,Shan,shn,
Q56495,Judeo-Tat,jdt,
Q56497,Shuwa,shu,
Q56499,Algerian Arabic,arq,
Q56505,Bunun,bnn,
Q56509,Amdo Tibetan,adx,
Q56511,Pele-Ata,ata,
Q56521,Gwandara,gwn,
Q56526,Aweer,bob,
Q56543,Guugu Yimithirr,kky,
Q56544,Kawésqar,alc,
Q56553,Thulung,tdh,
Q56565,Dhofari Arabic,adf,
Q56573,Sudanese Arabic,apd,
Q56576,Bahrani Arabic,abv,
Q56578,Sanʽani Arabic,ayn,
Q56579,Taʽizzi-Adeni Arabic,acq,
Q56582,Achang,acn,
Q56590,Atikamekw,atj,
Q56593,Levantine Arabic,apc,
Q56622,Gedeo,drs,
Q56624,Konso,kxc,
Q56630,Omani Arabic,acx,
Q56648,Abinomn,bsa,
Q56670,Ma'di,mhi,
Q56703,Tamahaq,thv,
Q56704,Tübatulabal,tub,
Q56737,Iowa-Oto,iow,
Q56753,Duruwa,pci,
Q56758,Pengo,peg,
Q56782,Angevin,,
Q56870,Nishi,njz,
Q56883,Arbore,arv,
Q56959,Oirat,xal,
Q58635,Punjabi,pan,pa
Q58680,Pashto,pus,ps
Q100103,West Flemish,vls,
Q129431,Prekmurian,,
Q178440,Dari,prs,
Q178806,Middle Dutch,dum,
Q216286,Burushaski,bsk,
Q220607,Tsakonian,tsd,
Q254950,Elfdalian,ovd,
Q304049,Hunsrik,hrx,
Q382273,Hindko,,
Q443089,Old Dutch,odt,
Q513736,Baltic Romani,rml,
Q531826,Yaghan,yag,
Q27683,Acehnese,ace,
Q27776,Adyghe,ady,
Q27792,Tlingit,tli,
Q27811,Afar,aar,aa
Q27898,Aimaq,aiq,
Q27927,Äynu,aib,
Q27969,Ainu,ain,
Q27992,Alutiiq,ems,
Q28156,Sirenik,ysr,
Q28213,Alyutor,alr,
Q28244,Amharic,amh,am
Q28466,Pujjukar,apq,
Q29379,Ashkun,ask,
Q29401,Assamese,asm,as
Q29507,Asturian,ast,
Q29561,Avar,ava,av
Q29919,Egyptian Arabic,arz,
Q29921,Inuktitut,iku,iu
Q29952,Erzya,myv,
Q29960,Even,eve,
Q30005,Ewe,ewe,ee
Q31746,Lezgian,lez,
Q32145,Ripuarian,,
Q32238,Dagbani,dag,
Q32288,Dameli,dml,
Q32332,Dargwa,dar,
Q32656,Divehi,div,dv
Q32689,Wasi-wari,prn,
Q32704,Venda,ven,ve
Q32730,Dogri,dgo,
Q32747,Veps,vep,
Q32900,Dawoodi,dmk,
Q32904,!Kung,,
Q32952,Chakma,ccp,
Q32983,Bonan,peh,
Q32994,Chintang,ctn,
Q33017,Toba Batak,bbc,
Q33030,Bashkardi,bsg,
Q33049,Balochi,bal,
Q33060,Blackfoot,bla,
Q33070,Balinese,ban,
Q33077,Comorian,,
Q33086,Balti,bft,
Q33111,Corsican,cos,co
Q33151,Banjar,bjn,
Q33158,Chhattisgarhi,hne,
Q33170,Chukchi,ckt,
Q33202,Brahui,brh,
Q33223,Bodo,brx,
Q33227,Hadauti,hoj,
Q33229,Bhili,bhb,
Q33268,Bhojpuri,bho,
Q33273,Chewa,nya,ny
Q33283,Hinuq,gin,
Q33303,Haida,hai,
Q33315,Herero,her,hz
Q33348,Chuvash,chv,cv
Q33350,Chechen,che,ce
Q33357,Crimean Tatar,crh,
Q33363,Irula,iru,
Q33368,Luganda,lug,lg
Q33375,Hakka Chinese,hak,
Q33388,Cherokee,chr,
Q33390,Cree,cre,cr
Q33398,Hazaragi,haz,
Q33399,Indus Kohistani,mvy,
Q33410,Haryanvi,bgc,
Q33413,Malvi,mup,
Q33416,Kalasha,kls,
Q33417,Isan,tts,
Q33454,Fula,ful,ff
Q33455,Khalaj,klj,
Q33459,Garhwali,gbm,
Q33462,Inari Sami,smn,
Q33474,Lambadi,lmn,
Q33475,Gan Chinese,gan,
Q33483,Kota,kfe,
Q33491,Haitian Creole,hat,ht
Q33509,Ingush,inh,
Q33522,Kabardian,kbd,
Q33529,Kumaoni,kfy,
Q33531,Kodava,kfa,
Q33537,Lakota,lkt,
Q33549,Javanese,jav,jv
Q33552,Kashmiri,kas,ks
Q33559,Ingrian,izh,
Q33573,Kinyarwanda,kin,rw
Q33575,Khakas,kjh,
Q33583,Kirundi,run,rn
Q33584,Khasi,kha,
Q33587,Gikuyu,kik,ki
Q33650,Oroch,oac,
Q33656,Kildin Sami,sjd,
Q33673,Kannada,kan,kn
Q33678,Mandinka,mnk,
Q33690,Kashubian,csb,
Q33698,Livonian,liv,
Q33702,Kongo,kon,kg
Q33715,Korku,kfq,
Q33725,Karaim,kdr,
Q150,French,fra,fr
Q256,Turkish,tur,tr
Q294,Icelandic,isl,is
Q652,Italian,ita,it
Q809,Polish,pol,pl
Q1321,Spanish,spa,es
Q1412,Finnish,fin,fi
Q1571,Marathi,mar,mr
Q1860,English,eng,en
Q4627,Aymara,aym,ay
Q5111,Abkhaz,abk,ab
Q5137,Gujarati,guj,gu
Q5160,'Are'are,alu,
Q5218,Quechua,que,qu
Q5287,Japanese,jpn,ja
Q5885,Tamil,tam,ta
Q7411,Dutch,nld,nl
Q7495,Aari,aiw,
Q7737,Russian,rus,ru
Q7838,Swahili,swa,sw
Q7913,Romanian,ron,ro
Q7930,Malagasy,mlg,mg
Q7976,American English,,
Q8097,Telugu,tel,te
Q8108,Georgian,kat,ka
Q8748,Albanian,sqi,sq
Q8752,Basque,eus,eu
Q8765,Aragonese,arg,an
Q8773,Aklanon,akl,
Q8785,Armenian,hye,hy
Q8798,Ukrainian,ukr,uk
Q9035,Danish,dan,da
Q9056,Czech,ces,cs
Q9063,Slovene,slv,sl
Q9067,Hungarian,hun,hu
Q9072,Estonian,est,et
Q9129,Greek,,
Q9142,Irish,gle,ga
Q9166,Maltese,mlt,mt
Q9168,Persian,fas,fa
